"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-01","2023","01","01","","-5.6","","-8.8","","-7.2","","25.2","","0.0","","","","","","0.0","","21","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-02","2023","01","02","","-7.2","","-10.2","","-8.7","","26.7","","0.0","","","","","","0.0","","20","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-03","2023","01","03","","-8.0","","-12.3","","-10.1","","28.1","","0.0","","","","","","0.0","","20","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-04","2023","01","04","","-7.6","","-14.5","","-11.0","","29.0","","0.0","","","","","","0.0","","20","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-05","2023","01","05","","-6.3","","-14.2","","-10.3","","28.3","","0.0","","","","","","0.0","","20","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-06","2023","01","06","","-9.4","","-16.1","","-12.7","","30.7","","0.0","","","","","","0.0","","19","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-07","2023","01","07","","-8.6","","-14.1","","-11.4","","29.4","","0.0","","","","","","0.0","","19","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-08","2023","01","08","","-6.5","","-13.2","","-9.8","","27.8","","0.0","","","","","","0.0","","20","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-09","2023","01","09","","-6.9","","-9.1","","-8.0","","26.0","","0.0","","","","","","0.0","","19","","","","",""
"-93.73","49.66","RAWSON LAKE (AUT)","6036907","2023-01-10","2023","01","10","","-2.0","","-7.1","","-4.6","","22.6","","0.0","","","","","","0.0","","19","","","","",""
