"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-01","2023","01","01","","2.4","","-8.2","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-02","2023","01","02","","1.2","","-12.1","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-03","2023","01","03","","1.1","","-13.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-04","2023","01","04","","0.9","","-11.6","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-05","2023","01","05","","-6.4","","-15.8","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-06","2023","01","06","","9.7","","-7.8","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","5","","25","","42",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-07","2023","01","07","","7.1","","-4.6","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","4","","27","","48",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-08","2023","01","08","","2.5","","-5.6","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","4","","12","","31",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-09","2023","01","09","","6.1","","-5.7","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","3","","28","","39",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-10","2023","01","10","","4.4","","-9.7","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","3","","27","","34",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-11","2023","01","11","","-0.8","","-13.0","","-6.9","","24.9","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-12","2023","01","12","","6.2","","-11.9","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-13","2023","01","13","","8.5","","-3.3","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-14","2023","01","14","","6.8","","-2.5","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","2","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-15","2023","01","15","","0.4","","-5.8","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-16","2023","01","16","","-2.4","","-10.2","","-6.3","","24.3","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-17","2023","01","17","","4.5","","-12.7","","-4.1","","22.1","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-18","2023","01","18","","4.3","","-9.9","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","2","","27","","42",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-19","2023","01","19","","4.7","","-8.8","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","2","","27","","47",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-20","2023","01","20","","5.0","","-7.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","2","","28","","42",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-21","2023","01","21","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","2","","27","","50",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-22","2023","01","22","","6.6","","-7.5","","-0.5","","18.5","","0.0","","0.0","","1.2","","1.1","","2","","29","","60",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-23","2023","01","23","","4.8","","-11.8","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","2","","27","","62",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-24","2023","01","24","","3.2","","-4.7","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","","","28","","56",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-25","2023","01","25","","5.3","","-3.9","","0.7","","17.3","","0.0","","0.0","","0.2","","0.2","","2","","33","","39",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-26","2023","01","26","","9.0","","-0.1","","4.5","","13.5","","0.0","","0.0","T","0.0","","0.0","T","2","","1","","68",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-27","2023","01","27","","1.3","","-13.2","","-6.0","","24.0","","0.0","","0.0","","16.0","","13.8","","5","","6","","47",""
"-114.01","51.12","CALGARY INTL A","3031092","2023-01-28","2023","01","28","","-13.1","","-21.5","","-17.3","","35.3","","0.0","","0.0","","2.4","","1.2","","17","","34","","40",""
