"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-01","2019","01","01","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-02","2019","01","02","","","","","","","","","","","","","","","","","M","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-03","2019","01","03","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-04","2019","01","04","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-05","2019","01","05","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-06","2019","01","06","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-07","2019","01","07","","","","","","","","","","","","","","","","","","","","36","","37",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-08","2019","01","08","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-09","2019","01","09","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-10","2019","01","10","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-11","2019","01","11","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-12","2019","01","12","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-13","2019","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-14","2019","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-15","2019","01","15","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-16","2019","01","16","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-17","2019","01","17","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-18","2019","01","18","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-19","2019","01","19","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-20","2019","01","20","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-21","2019","01","21","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-22","2019","01","22","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-23","2019","01","23","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-24","2019","01","24","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-25","2019","01","25","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-26","2019","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-27","2019","01","27","","","","","","","","","","","","","","","","","","","","36","","61",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-28","2019","01","28","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-29","2019","01","29","","","","","","","","","","","","","","","","","","","","","M","","M"
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-30","2019","01","30","","","","","","","","","","","","","","","","","","","","9","","31",""
"-112.00","58.85","SWEETGRASS LANDING","3076330","2019-01-31","2019","01","31","","","","","","","","","","","","","","","","","","","","32","","36",""
