"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-01","2023","01","01","","4.5","","2.4","","3.5","","14.5","","0.0","","","","","","1.2","","","","29","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-02","2023","01","02","","5.4","","-0.1","","2.7","","15.3","","0.0","","","","","","0.0","","","","31","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-03","2023","01","03","","4.1","","2.0","","3.1","","14.9","","0.0","","","","","","3.2","","","","5","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-04","2023","01","04","","4.4","","2.2","","3.3","","14.7","","0.0","","","","","","20.9","","","","6","","71",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-05","2023","01","05","","3.8","","2.4","","3.1","","14.9","","0.0","","","","","","0.0","","","","22","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-06","2023","01","06","","4.6","","2.4","","3.5","","14.5","","0.0","","","","","","0.0","","","","29","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-07","2023","01","07","","3.1","","-4.1","","-0.5","","18.5","","0.0","","","","","","0.0","","","","32","","46",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-08","2023","01","08","","-1.5","","-4.7","","-3.1","","21.1","","0.0","","","","","","0.0","","","","29","","33",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-09","2023","01","09","","1.9","","-1.7","","0.1","","17.9","","0.0","","","","","","0.0","","","","30","","46",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-10","2023","01","10","","1.7","","-0.9","","0.4","","17.6","","0.0","","","","","","0.0","","","","5","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-11","2023","01","11","","2.2","","-4.1","","-1.0","","19.0","","0.0","","","","","","0.0","","","","6","","58",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-12","2023","01","12","","4.6","","0.3","","2.5","","15.5","","0.0","","","","","","4.8","","","","33","","48",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-13","2023","01","13","","0.3","","-8.6","","-4.2","","22.2","","0.0","","","","","","1.0","","","","32","","61",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-14","2023","01","14","","-2.4","","-9.4","","-5.9","","23.9","","0.0","","","","","","0.0","","","","32","","50",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-15","2023","01","15","","-1.6","","-9.1","","-5.4","","23.4","","0.0","","","","","","0.0","","","","5","","32",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-16","2023","01","16","","1.7","","-3.9","","-1.1","","19.1","","0.0","","","","","","0.0","","","","6","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-17","2023","01","17","","4.6","","1.0","","2.8","","15.2","","0.0","","","","","","3.4","","","","5","","48",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-18","2023","01","18","","5.9","","2.8","","4.4","","13.6","","0.0","","","","","","1.0","","","","29","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-19","2023","01","19","","3.6","","1.7","","2.7","","15.3","","0.0","","","","","","3.8","","","","6","","76",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-20","2023","01","20","","3.7","","-0.7","","1.5","","16.5","","0.0","","","","","","1.5","","","","30","","48",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-21","2023","01","21","","1.2","","-0.8","","0.2","","17.8","","0.0","","","","","","0.0","","","","23","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-22","2023","01","22","","2.2","","-1.8","","0.2","","17.8","","0.0","","","","","","3.4","","","","22","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-23","2023","01","23","","2.5","","-1.4","","0.6","","17.4","","0.0","","","","","","0.0","","","","28","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-24","2023","01","24","","3.2","","-0.6","","1.3","","16.7","","0.0","","","","","","0.0","","","","30","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2023-01-25","2023","01","25","","2.6","","-1.7","","0.5","","17.5","","0.0","","","","","","11.2","","","","7","","68",""
